,precision,recall,f1-score,support
0,0.0,0.0,0.0,367.0
1,0.0,0.0,0.0,619.0
2,0.0,0.0,0.0,257.0
3,0.0,0.0,0.0,1223.0
4,0.012269938650306749,1.0,0.024242424242424242,62.0
5,0.0,0.0,0.0,2525.0
accuracy,0.012269938650306749,0.012269938650306749,0.012269938650306749,0.012269938650306749
macro avg,0.002044989775051125,0.16666666666666666,0.00404040404040404,5053.0
weighted avg,0.0001505513944822914,0.012269938650306749,0.0002974530581892545,5053.0
