,precision,recall,f1-score,support
0,0.8357142857142857,0.3188010899182561,0.46153846153846156,367.0
1,0.9120879120879121,0.5363489499192245,0.6754832146490336,619.0
2,0.7857142857142857,0.042801556420233464,0.08118081180811808,257.0
3,0.9954233409610984,0.35568274734260014,0.5240963855421686,1223.0
4,0.6,0.04838709677419355,0.08955223880597014,62.0
5,0.6164182751038358,0.9992079207920792,0.7624660018132366,2525.0
accuracy,0.6770235503661192,0.6770235503661192,0.6770235503661192,0.6770235503661192
macro avg,0.7908930165969029,0.38353822686109784,0.4323861856928315,5053.0
weighted avg,0.7687071091432299,0.6770235503661192,0.6293530510171221,5053.0
