,precision,recall,f1-score,support
0,0.7752808988764045,0.1880108991825613,0.3026315789473684,367.0
1,0.8809523809523809,0.11954765751211632,0.21052631578947367,619.0
2,0.8541666666666666,0.15953307392996108,0.26885245901639343,257.0
3,0.9580645161290322,0.2428454619787408,0.38747553816046965,1223.0
4,0.8571428571428571,0.1935483870967742,0.3157894736842105,62.0
5,0.5601153504880213,1.0,0.7180435091710508,2525.0
accuracy,0.5972689491391253,0.5972689491391253,0.5972689491391253,0.5972689491391253
macro avg,0.8142871117092271,0.3172475799500256,0.36721981246149443,5053.0
weighted avg,0.7299634805821126,0.5972689491391253,0.5179097668929665,5053.0
