,precision,recall,f1-score,support
0,0.9319727891156463,0.7465940054495913,0.8290468986384266,367.0
1,0.8841642228739003,0.9741518578352181,0.9269792467332821,619.0
2,0.9517543859649122,0.8443579766536965,0.8948453608247423,257.0
3,0.979235880398671,0.964022894521668,0.9715698393077874,1223.0
4,0.5842696629213483,0.8387096774193549,0.6887417218543046,62.0
5,0.9690923317683882,0.980990099009901,0.9750049202912813,2525.0
accuracy,0.9503265386898871,0.9503265386898871,0.9503265386898871,0.9503265386898871
macro avg,0.8834148788404775,0.8914710851482384,0.8810313312749708,5053.0
weighted avg,0.9528440299428553,0.9503265386898871,0.9500999301848485,5053.0
