,precision,recall,f1-score,support
0,0.7310513447432763,0.8147138964577657,0.770618556701031,367.0
1,0.9495614035087719,0.6995153473344103,0.8055813953488372,619.0
2,0.9090909090909091,0.8171206225680934,0.860655737704918,257.0
3,0.9479429051217464,0.9231398201144726,0.9353769676884839,1223.0
4,0.0,0.0,0.0,62.0
5,0.9023861171366594,0.9885148514851485,0.9434889434889435,2525.0
accuracy,0.9038195131604987,0.9038195131604987,0.9038195131604987,0.9038195131604987
macro avg,0.7400054466002272,0.7071674229933151,0.7192869334887022,5053.0
weighted avg,0.8960161952628213,0.9038195131604987,0.8962865688527548,5053.0
