,precision,recall,f1-score,support
0,0.8914956011730205,0.8283378746594006,0.8587570621468926,367.0
1,0.9134466769706336,0.9547657512116317,0.933649289099526,619.0
2,0.9256198347107438,0.8715953307392996,0.8977955911823647,257.0
3,0.9769167353668591,0.9689288634505315,0.9729064039408867,1223.0
4,0.6857142857142857,0.7741935483870968,0.7272727272727273,62.0
5,0.9732283464566929,0.979009900990099,0.9761105626850938,2525.0
accuracy,0.9546803878883832,0.9546803878883832,0.9546803878883832,0.9546803878883832
macro avg,0.8944035800653726,0.8961385449063433,0.8944152727212485,5053.0
weighted avg,0.9549122707435357,0.9546803878883832,0.9545736850553849,5053.0
