,precision,recall,f1-score,support
0,0.7921146953405018,0.6021798365122616,0.6842105263157895,367.0
1,0.6315007429420505,0.6865912762520194,0.6578947368421053,619.0
2,0.9347826086956522,0.3346303501945525,0.49283667621776506,257.0
3,0.9812807881773399,0.8143908421913328,0.8900804289544236,1223.0
4,0.0,0.0,0.0,62.0
5,0.8299933199732799,0.9841584158415841,0.9005254575104186,2525.0
accuracy,0.833762121511973,0.833762121511973,0.833762121511973,0.833762121511973
macro avg,0.6949453591881373,0.5703251201652918,0.6042579709734169,5053.0
weighted avg,0.8346890402492172,0.833762121511973,0.8207789977985733,5053.0
