epoch,train_loss,train_accuracy,val_accuracy,precision,recall,f1_score
1,1.2753424487113953,0.5891132572431957,0.6229183187946075,0.329748550421207,0.27038209973550864,0.26673936966541073
2,0.9427851839065552,0.7120280948200176,0.7182791435368755,0.36676893958295703,0.35565488812087515,0.35105012909500094
3,0.8204114198684692,0.7485262761821146,0.7430610626486915,0.37989316926152233,0.37377880730460894,0.3661352056365943
4,0.7575952033996582,0.7651448639157156,0.7273988897700238,0.39628297538668494,0.34996452436052944,0.3418034301287658
5,0.7106592493057251,0.7759312680295999,0.7509912767644726,0.4924216709541304,0.4314878603301701,0.42558207673622933
6,0.6684163918495178,0.7907939295121034,0.7067803330689929,0.47644997011326123,0.45021051834986553,0.4261254996627806
7,0.6368547816276551,0.8035243948325599,0.7854877081681205,0.5351750844888502,0.453094953277468,0.47521858983921494
8,0.6079599282741547,0.8156904552865922,0.7696272799365583,0.54009472443315,0.4338089782952313,0.4598441166895144
9,0.5854641652107239,0.8228395835946318,0.8005551149881047,0.5466429933429948,0.47748899449804943,0.49845817734248565
10,0.5603656928539276,0.8291107487771228,0.8146312450436162,0.6510439178052737,0.5133416167529622,0.523763137048828
11,0.5424208199977875,0.8373259751661859,0.7811260904044409,0.7045017753900916,0.4553787214072141,0.48736554305836527
12,0.5199753482341767,0.846920857895397,0.820578905630452,0.6895452396017631,0.5145094518901919,0.5349610419379028
13,0.5119636917114258,0.8464191646807977,0.7934179222839016,0.6251236438915652,0.45836876044194835,0.4775525314628732
14,0.49781083059310915,0.8536310046406622,0.8507137192704203,0.6938747222924572,0.5776511330097122,0.5999965622192313
15,0.48177077174186705,0.8583970901793553,0.8102696272799366,0.683345865729568,0.4962703699039824,0.52563300341185
16,0.47111325764656065,0.8628496174589239,0.8481363996827914,0.7096194729754187,0.5829532034465611,0.6134668756121937
17,0.46535835838317874,0.8636021572808228,0.795796986518636,0.6850820705697614,0.4693798893628643,0.4920590206122773
18,0.4546705205440521,0.8706258622852125,0.757137192704203,0.6554924293274079,0.3938905997976923,0.3977031009896547
19,0.44711792254447935,0.8726953467954346,0.8310864393338621,0.6809801403680371,0.5734661069302813,0.5987148972587292
20,0.44392476963996885,0.873071616706384,0.837827121332276,0.6974178270753025,0.5656839232058865,0.590241012819737
