epoch,train_loss,train_accuracy,val_accuracy,precision,recall,f1_score
1,1.255369372844696,0.575191270538066,0.6597938144329897,0.38406236160799984,0.2986117155578582,0.2984803130001093
2,0.8508023161888123,0.7416907061331995,0.7036082474226805,0.5273872667489689,0.34457759758011813,0.35579269559936727
3,0.6887279353141784,0.7966888247836448,0.7888580491673275,0.556975145354453,0.47117526436276336,0.49734891784345353
4,0.5846424419879913,0.8319327731092437,0.785289452815226,0.5592834090822292,0.48881272821633504,0.5113078856350513
5,0.5198501672744751,0.8491784773610936,0.8356463124504362,0.7349084613423926,0.5387158997008803,0.5569842035134022
6,0.46140954494476316,0.8678038379530917,0.8703409992069786,0.7380273345822165,0.5897164231148815,0.6053809189577825
7,0.41448511600494387,0.8865546218487395,0.9070182394924663,0.7467253639417839,0.6878606133012318,0.7079502116881158
8,0.3781331913471222,0.8970274677034993,0.880253766851705,0.7392712387709701,0.6427942910795085,0.6743874246184832
9,0.3537373375892639,0.9085036999874577,0.8879857256145915,0.761657266049137,0.6483548062716337,0.6866501150553453
10,0.3331345409154892,0.9132070738743259,0.9163362410785091,0.7647997569391553,0.7058004535781662,0.729405669822896
11,0.3129243566989899,0.9170951962874702,0.9183187946074544,0.7442416445460837,0.7202504140584306,0.7312107179854039
12,0.3051636320352554,0.9194782390568168,0.915543219666931,0.7639553208560438,0.7083386875605897,0.7312799415310828
13,0.29262870943546293,0.9230528032108366,0.9276367961934973,0.7602254621951844,0.7332731115252887,0.7456078846806505
14,0.28174453997612,0.926251097453907,0.9161379857256146,0.7653500997153736,0.69389352849717,0.7192002003860049
15,0.27174760377407076,0.9278188887495297,0.9153449643140364,0.7584905727751069,0.7015395994716661,0.7259378463421235
16,0.27029102051258086,0.9288222751787282,0.9204996034892942,0.7655501452620733,0.7165319012881785,0.7381747572310088
17,0.2568772405385971,0.9315188762071993,0.9127676447264076,0.7671418781100453,0.695614002620553,0.725714439680496
18,0.2516124656200409,0.9334002257619466,0.9312053925455988,0.773183478648738,0.7370066359188773,0.7529738897689034
19,0.24811927807331086,0.9328985325473473,0.9206978588421887,0.7699350871584251,0.7071384384676752,0.7316550246809403
20,0.24388791006803512,0.933776495672896,0.9268437747819191,0.758191803709069,0.7333444893125098,0.7443002635225268
