,precision,recall,f1-score,support
0,0.9285714285714286,0.6730245231607629,0.7804107424960506,367.0
1,0.85062893081761,0.8739903069466882,0.8621513944223107,619.0
2,0.943127962085308,0.77431906614786,0.8504273504273504,257.0
3,0.9344,0.9550286181520851,0.9446016983420946,1223.0
4,1.0,0.06451612903225806,0.12121212121212122,62.0
5,0.921072226358898,0.9798019801980198,0.9495298407215506,2525.0
accuracy,0.9168810607559865,0.9168810607559865,0.9168810607559865,0.9168810607559865
macro avg,0.9296334246388742,0.7201134372729457,0.751388857936913,5053.0
weighted avg,0.9183034791755307,0.9168810607559865,0.9101460837349571,5053.0
