epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.2813773236870766,0.2081417236942798,0.9367565424266455,0.8755522250988564,0.8466629066138861,0.8515179693799083
2,0.1666851947903633,0.17020642603747546,0.9528152260111022,0.9272574927363756,0.8798803439224508,0.9007730904803157
3,0.14984846445918082,0.15114449723623694,0.9623314829500397,0.9317426996538525,0.8986272042615994,0.9138231421475211
4,0.12039704425632954,0.17984254939947278,0.953806502775575,0.8938551209038508,0.9030370729329031,0.8969492895452839
5,0.10618019944429398,0.16447572445031255,0.9545995241871531,0.8936186090118339,0.903139729172017,0.8977943263701471
6,0.09111762627959251,0.18643798392731697,0.9577716098334655,0.9054406231947637,0.8994657714510153,0.9017526441002256
7,0.08204015143960715,0.20986491033690982,0.9492466296590008,0.8850669280695621,0.8836319238366034,0.8828656978867159
8,0.08389624033868313,0.20743567744502797,0.9504361617763679,0.9059322007781733,0.8888607708902686,0.8952720984189949
9,0.06423846193775534,0.18199344909517096,0.9583663758921491,0.9070174989143288,0.9049205080874133,0.9055835406277603
10,0.0621580342464149,0.23723612087196672,0.9563838223632039,0.8892290903484308,0.8975252968888277,0.8904719364108836
11,0.058775010798126456,0.20613893625850324,0.9583663758921491,0.8924803852151898,0.9102703329921645,0.8973708008660197
12,0.055877122439444066,0.2721285563777201,0.9389373513084853,0.8839687446956176,0.8835528441687887,0.8810843806121974
13,0.0556129526719451,0.18522253422997892,0.9593576526566218,0.9270786320562965,0.8954895035708472,0.9093848010954706
14,0.036104220835492015,0.27409844286739826,0.9385408406026963,0.8511271556989127,0.8802607855448391,0.8647534157211313
15,0.042039001654833555,0.2236298811098095,0.9565820777160984,0.9078632857307051,0.9065402305348437,0.9066454492799315
16,0.03257285689376294,0.25949966784683054,0.9522204599524187,0.899254056280585,0.8922171070267414,0.8941769063250025
17,0.0371240051407367,0.23528742257039995,0.9569785884218874,0.9066621581174643,0.8817184253441491,0.893372564358676
18,0.027343979466706515,0.229786335863173,0.9565820777160984,0.8936249037219003,0.9083084575666028,0.8985410572280724
19,0.029306942615192382,0.27250318668357065,0.9557890563045203,0.9176000104594455,0.8824081820443274,0.8978783087864439
20,0.02640026789531112,0.2688680631970783,0.9498413957176843,0.8962846292796965,0.8940207529836993,0.8934072118481513
