epoch,train_loss,train_accuracy,val_accuracy,precision,recall,f1_score
1,1.1551935338974,0.654521510096576,0.6421490880253767,0.38598584271663894,0.28053528242755826,0.27834892152724394
2,0.8089280338287353,0.7550482879719052,0.7192704203013481,0.389778680406319,0.38474920847470795,0.3656293207018127
3,0.6599782111644745,0.8052176094318324,0.7248215701823949,0.5454547477644752,0.40367838504999015,0.43612914991163976
4,0.5642504172325135,0.8424056189640036,0.8576526566217287,0.5666078750629638,0.5714736368331103,0.5672097058817391
5,0.5036283881664276,0.8567038755800828,0.7726011102299762,0.5739338970949793,0.4793765788511368,0.5082819912008885
6,0.464154007434845,0.8673021447384924,0.35586835844567805,0.4702916021501271,0.35451728485397166,0.30411758666178956
7,0.43136403357982633,0.8755173711275555,0.8590404440919904,0.7433507958234823,0.571515619470823,0.5736281168661297
8,0.40570002841949465,0.8805343032735482,0.8754956383822363,0.7103378553986971,0.5940143215388708,0.6019990010819279
9,0.3781294057369232,0.8901291860027594,0.8499206978588422,0.6993126678281368,0.572674102653409,0.5859571666647664
10,0.35728665721416475,0.8996613570801455,0.8881839809674861,0.7327796492698361,0.6203284168624911,0.6357600152988143
11,0.33497966849803923,0.9093189514611815,0.8788659793814433,0.747008461562567,0.6238339327803543,0.6579232255763042
12,0.31620563119649886,0.913081650570676,0.8865979381443299,0.7480243222679457,0.6397805978809635,0.6672667743628501
13,0.2940638197660446,0.9209206070487896,0.9022601110229976,0.7645262223792989,0.6632117269333883,0.697987375425393
14,0.2833896721601486,0.9231782265144864,0.9072164948453608,0.7024051022936275,0.740350427603683,0.7142419998459847
15,0.27649445909261705,0.9246833061582842,0.9240681998413958,0.7594389203375482,0.724085164165159,0.7391101978138238
16,0.26867786681652067,0.9271290605794557,0.7946074544012688,0.6320064654648646,0.66731807451814,0.634321563177361
17,0.25727740746736527,0.9302646431707011,0.9224821570182395,0.7349002450120259,0.7381745194463122,0.7342917400546124
18,0.2516561222076416,0.9311426062962499,0.9030531324345757,0.7721776477493053,0.6659036429949495,0.7038121747638587
19,0.24343977755308152,0.9332748024582967,0.9214908802537668,0.9337481160585056,0.7063332117417099,0.7372881171269406
20,0.23997393184900284,0.93446632384297,0.9284298176050754,0.9395943250354698,0.7606606605152505,0.8051140298904341
