,precision,recall,f1-score,support
0,0.8977900552486188,0.8552631578947368,0.876010781671159,380.0
1,0.953198127925117,0.9776,0.9652448657187994,625.0
2,0.8458646616541353,0.8928571428571429,0.8687258687258688,252.0
3,0.9852700490998363,0.9788617886178862,0.9820554649265906,1230.0
4,0.6792452830188679,0.6545454545454545,0.6666666666666666,55.0
5,0.9984233346472211,0.9976368649074439,0.9980299448384555,2539.0
accuracy,0.9710686872662861,0.9710686872662861,0.9710686872662861,0.9710686872662861
macro avg,0.8932985852656327,0.8927940681371108,0.8927889320912566,5081.0
weighted avg,0.9711286052573601,0.9710686872662861,0.9710045218459793,5081.0
