,precision,recall,f1-score,support
0,0.9213483146067416,0.8631578947368421,0.8913043478260869,380.0
1,0.96513470681458,0.9744,0.9697452229299363,625.0
2,0.875968992248062,0.8968253968253969,0.8862745098039215,252.0
3,0.9703763010408326,0.9853658536585366,0.9778136345300524,1230.0
4,0.8636363636363636,0.6909090909090909,0.7676767676767676,55.0
5,0.9984270546598506,1.0,0.9992129083038174,2539.0
accuracy,0.9746112969887817,0.9746112969887817,0.9746112969887817,0.9746112969887817
macro avg,0.9324819555010717,0.9017763726883111,0.9153378985117636,5081.0
weighted avg,0.9742442195272132,0.9746112969887817,0.9742299074696498,5081.0
