epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.17923133856803178,0.11540805320837536,0.9692582308607696,0.925306489036586,0.8828056453558091,0.8989247664335706
2,0.08604099629819394,0.12979861612548121,0.9646965489884967,0.8938874442350033,0.9040138001244203,0.8965745534453827
3,0.06807430435344577,0.08011633878340944,0.9760015866719556,0.9178002947117951,0.924130843577922,0.9209068212061081
4,0.053240885138511655,0.08438979754137108,0.9767949226497422,0.9403980543246303,0.9095695012187995,0.9234837443284265
5,0.04586985495686531,0.09260797544266097,0.9736215787385958,0.9376021518206333,0.8886965118372884,0.9040986424439303
6,0.03918479495309293,0.09663762348845921,0.9771915906386355,0.9321060815301427,0.9280236049137626,0.929902870993294
7,0.03470982236042619,0.10196198545163497,0.9775882586275287,0.9399889366610609,0.9141589902395474,0.9253734210494949
8,0.03648428151383996,0.10033492246293463,0.9742165807219357,0.9343760446556963,0.9073411383935149,0.9184478015420653
9,0.032903390232473614,0.11944389709278766,0.974613248710829,0.9513673639611365,0.9000245947872744,0.92158862018883
10,0.03445666850358248,0.10051721762429225,0.9756049186830623,0.9090488095514285,0.9211753212300948,0.914236197084216
11,0.02411825960734859,0.11602220435397612,0.9730265767552558,0.9497440730704246,0.8933708464808939,0.9176777662033234
12,0.021608118618139997,0.11495010018988978,0.9754065846886156,0.941801183400675,0.9030653617256591,0.9191489692431092
13,0.017455417060293257,0.10746232345227327,0.9765965886552955,0.9462212633634196,0.9151656517013137,0.9278724229815447
14,0.020781042228336447,0.15460078734904528,0.9637048790162633,0.9007608538438833,0.8965625869342468,0.897114030160778
15,0.02059066982625518,0.09721905525602778,0.9795715985719953,0.9411184519971106,0.9196346963888592,0.9293808187433835
16,0.017200028191844467,0.12942103889945428,0.9761999206664023,0.9383735698702225,0.9217419346147979,0.929149499277646
17,0.015352664918173104,0.13503154105474097,0.9738199127330425,0.914320687050927,0.8943078667369454,0.9036019762295443
18,0.015570735006360336,0.12197557554686682,0.9761999206664023,0.9365626052189356,0.9110596410223599,0.9229863397711852
19,0.01418873392837122,0.10319003495533252,0.9803649345497818,0.9436937613713402,0.923924717710202,0.9328355642904665
20,0.012654576184344478,0.11375042917063638,0.9769932566441888,0.9261648993018116,0.9103401571010896,0.9180047726754667
