epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.1795060888826847,0.11750883549102582,0.9635065450218168,0.9087354940395995,0.8877500276014878,0.8948436520876912
2,0.08905145648121834,0.07484042803698684,0.977984926616422,0.9443996292087222,0.9259417982905052,0.9345498277173038
3,0.07220454183220863,0.11347842888790183,0.9696548988496628,0.9416735797866513,0.8887688830865185,0.9092353997765065
4,0.05236839488521218,0.09601144701300654,0.9730265767552558,0.9226331979752621,0.9149423955871505,0.91721240555351
5,0.04347185460012406,0.08474716530181467,0.9783815946053154,0.9370838374658225,0.9318664323661304,0.9344297880047089
6,0.035926946490537376,0.10648872311139712,0.9765965886552955,0.9262606479272956,0.9180080522609773,0.921577065587967
7,0.03326697289664298,0.1357842058641836,0.9631098770329234,0.924559232039703,0.8763895585337704,0.8899127938044896
8,0.027034750993363558,0.1036837135645328,0.977984926616422,0.9161451878363976,0.9321686982654033,0.9237991289298422
9,0.03546138878632337,0.09181533338269218,0.9781832606108687,0.9251171169645303,0.9359003433813317,0.9303069268915157
10,0.019116417474113405,0.1137556821518956,0.974613248710829,0.9269724311398774,0.9088980346382419,0.9170918540184988
11,0.023182001943234356,0.09530791118722845,0.9797699325664418,0.9567451380454486,0.9250185023307177,0.9385771431023152
12,0.01635721170553006,0.09883087445214186,0.9797699325664418,0.9409948610072787,0.9229413487141289,0.9311198946263156
13,0.015626494456082583,0.24669095356948673,0.9462514875049584,0.8935567880189036,0.834519986193897,0.839452761741962
14,0.022791145747993142,0.09930616440706216,0.9799682665608885,0.9481429977045163,0.928381853155114,0.9376370120365394
15,0.013322002291562968,0.10431090740912623,0.9765965886552955,0.9433444934903656,0.915311735922172,0.9276138662459009
16,0.010697141734068282,0.18197377344913548,0.9652915509718366,0.8797128099187884,0.9103771347276083,0.8880470919024303
17,0.016859625780023636,0.11069824668320508,0.9783815946053154,0.9440180339801353,0.9117133045759406,0.9255360580165416
18,0.011195321399136447,0.14623600239701773,0.9758032526775089,0.9390865946668493,0.8924560330839143,0.9116506517803661
19,0.01836924294824712,0.13959307925279063,0.9760015866719556,0.947285139771754,0.9141999222930707,0.9278630323662872
20,0.013084992804971989,0.12543818853118865,0.9728282427608091,0.9037254921208987,0.9377750030860071,0.9193740805172981
